Total TSPLIB instances detected: 228
#################  NN Test on TSPLIB_Survey (ICAM style)  #################
TSPLIB folder: /public/home/bayp/exp_survey_202509/0_data_survey/survey_bench_tsp
-----------------------------------------------------------------
[100/228] Instance: pr136, dim: 136, BKS: 96772, NN cost: 120769, GAP: 24.797%, time: 0.002s
[101/228] Instance: vm22775, dim: 22775, BKS: 569288, NN cost: 707629, GAP: 24.301%, time: 8.223s
[102/228] Instance: portcgen-31623-31623, dim: 31623, BKS: 59545390, NN cost: 77259338, GAP: 29.749%, time: 14.980s
[103/228] Instance: ltb3729, dim: 3729, BKS: 11821, NN cost: 15090, GAP: 27.654%, time: 0.266s
[104/228] Instance: fnb1615, dim: 1615, BKS: 4956, NN cost: 6573, GAP: 32.627%, time: 0.065s
[105/228] Instance: pba38478, dim: 38478, BKS: 108318, NN cost: 133232, GAP: 23.001%, time: 23.220s
[106/228] Instance: rat195, dim: 195, BKS: 2323, NN cost: 2752, GAP: 18.467%, time: 0.003s
[107/228] Instance: d198, dim: 198, BKS: 15780, NN cost: 18240, GAP: 15.589%, time: 0.003s
[108/228] Instance: bgb4355, dim: 4355, BKS: 12723, NN cost: 16193, GAP: 27.273%, time: 0.354s
[109/228] Instance: irx28268, dim: 28268, BKS: 72607, NN cost: 90978, GAP: 25.302%, time: 12.158s
[110/228] Instance: dga9698, dim: 9698, BKS: 27724, NN cost: 34657, GAP: 25.007%, time: 1.564s
[111/228] Instance: pbn423, dim: 423, BKS: 1365, NN cost: 1768, GAP: 29.524%, time: 0.009s
[112/228] Instance: pr226, dim: 226, BKS: 80369, NN cost: 94683, GAP: 17.810%, time: 0.004s
[113/228] Instance: portcgen-1000-1000, dim: 1000, BKS: 11387430, NN cost: 14802408, GAP: 29.989%, time: 0.030s
[114/228] Instance: xvb13584, dim: 13584, BKS: 37083, NN cost: 47193, GAP: 27.263%, time: 2.947s
[115/228] Instance: xva2993, dim: 2993, BKS: 8492, NN cost: 10511, GAP: 23.775%, time: 0.181s
[116/228] Instance: kroD100, dim: 100, BKS: 21294, NN cost: 26947, GAP: 26.547%, time: 0.001s
[117/228] Instance: lsn3119, dim: 3119, BKS: 9114, NN cost: 11453, GAP: 25.664%, time: 0.193s
[118/228] Instance: lap7454, dim: 7454, BKS: 19535, NN cost: 24062, GAP: 23.174%, time: 0.942s
[119/228] Instance: tsp225, dim: 225, BKS: 3916, NN cost: 5030, GAP: 28.447%, time: 0.004s
[120/228] Instance: d657, dim: 657, BKS: 48912, NN cost: 61627, GAP: 25.996%, time: 0.017s
[121/228] Instance: brd14051, dim: 14051, BKS: 469385, NN cost: 585382, GAP: 24.713%, time: 3.122s
[122/228] Instance: rl1323, dim: 1323, BKS: 270199, NN cost: 332103, GAP: 22.911%, time: 0.047s
[123/228] Instance: rbx711, dim: 711, BKS: 3115, NN cost: 3890, GAP: 24.880%, time: 0.019s
[124/228] Instance: lim963, dim: 963, BKS: 2789, NN cost: 3503, GAP: 25.601%, time: 0.028s
[125/228] Instance: vm1084, dim: 1084, BKS: 239297, NN cost: 301477, GAP: 25.984%, time: 0.034s
[126/228] Instance: u1817, dim: 1817, BKS: 57201, NN cost: 72030, GAP: 25.924%, time: 0.077s
[127/228] Instance: ird29514, dim: 29514, BKS: 80353, NN cost: 98991, GAP: 23.195%, time: 13.235s
[128/228] Instance: ch150, dim: 150, BKS: 6528, NN cost: 8191, GAP: 25.475%, time: 0.002s
[129/228] Instance: rd100, dim: 100, BKS: 7910, NN cost: 9938, GAP: 25.638%, time: 0.001s
[130/228] Instance: rl5934, dim: 5934, BKS: 556045, NN cost: 672412, GAP: 20.928%, time: 0.612s
[131/228] Instance: u159, dim: 159, BKS: 42080, NN cost: 54675, GAP: 29.931%, time: 0.002s
[132/228] Instance: pr264, dim: 264, BKS: 49135, NN cost: 58023, GAP: 18.089%, time: 0.005s
[133/228] Instance: ch71009, dim: 71009, BKS: 4566506, NN cost: 5674427, GAP: 24.262%, time: 85.633s
[134/228] Instance: dhb3386, dim: 3386, BKS: 11137, NN cost: 13881, GAP: 24.639%, time: 0.225s
[135/228] Instance: xib32892, dim: 32892, BKS: 96757, NN cost: 120435, GAP: 24.472%, time: 16.331s
[136/228] Instance: portcgen-3162-31621, dim: 3162, BKS: 19017805, NN cost: 25389612, GAP: 33.504%, time: 0.199s
[137/228] Instance: fnl4461, dim: 4461, BKS: 182566, NN cost: 229963, GAP: 25.962%, time: 0.365s
[138/228] Instance: dea2382, dim: 2382, BKS: 8017, NN cost: 9929, GAP: 23.849%, time: 0.121s
[139/228] Instance: fi10639, dim: 10639, BKS: 520527, NN cost: 649600, GAP: 24.797%, time: 1.830s
[140/228] Instance: rbw2481, dim: 2481, BKS: 7724, NN cost: 9584, GAP: 24.081%, time: 0.130s
